,name,price(in Rs.),processor,ram,os,storage,display(in inch),rating,no_of_ratings,no_of_reviews
716,Infinix X1 Slim Series Core i5 10th Gen,37990,Intel Core i5 Processor (10th Gen),8 GB LPDDR4X RAM,64 bit Windows 11 Operating System,512 GB SSD,14,4.2,713,103
717,ASUS VivoBook 14 Core i3 7th Gen,33990,Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,256 GB SSD,14,4.3,5546,790
718,Avita PURA APU Dual Core A6 9220e,24490,AMD APU Dual Core A6 Processor,8 GB DDR4 RAM,64 bit Windows 10 Operating System,256 GB SSD,14,3.6,1857,268
719,HP 15s Intel Core i5 12th Gen,63290,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.1,125,9
720,HP 15s Intel Core i5 12th Gen,63290,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.1,125,9
721,HP 15s Core i5 11th Gen,54960,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,15.6,4.4,849,80
722,Lenovo IdeaPad Flex 5 Ryzen 5 Hexa Core 5500U,61200,AMD Ryzen 5 Hexa Core Processor,16 GB LPDDR4X RAM,64 bit Windows 11 Operating System,512 GB SSD,14,,,
723,Lenovo Intel Core i5 11th Gen,62990,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,15.6,4.5,14,1
724,HP Core i3 11th Gen,39890,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,15.6,3.7,6,0
725,Avita PURA APU Dual Core A6 9220e,24490,AMD APU Dual Core A6 Processor,8 GB DDR4 RAM,64 bit Windows 10 Operating System,256 GB SSD,14,3.6,1857,268
726,DELL Vostro Core i5 12th Gen,71490,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,16,,,
727,Lenovo V15 G2 Core i3 11th Gen,37500,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,1 TB HDD|256 GB SSD,15.6,4.4,53,3
728,acer Nitro 5 Ryzen 5 Hexa Core AMD R5,67990,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.3,222,25
729,ASUS ZenBook S Core i7 8th Gen,99990,Intel Core i7 Processor (8th Gen),16 GB DDR3 RAM,64 bit Windows 10 Operating System,512 GB SSD,13.3,4.3,30,7
730,ASUS Core i7 12th Gen,104405,Intel Core i7 Processor (12th Gen),16 GB DDR5 RAM,Windows 11 Operating System,1 TB SSD,15.6,,,
731,DELL Vostro Ryzen 3 Quad Core 5425U,36890,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,256 GB SSD,14,,,
732,ASUS TUF Gaming F17 (2022) with 90Whr Battery Core i5 12th Gen,94990,Intel Core i5 Processor (12th Gen),16 GB DDR5 RAM,64 bit Windows 11 Operating System,512 GB SSD,17.3,4.4,105,18
733,HP Core i3 11th Gen,43390,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,14,,,
734,DELL Core i5 12th Gen,99990,Intel Core i5 Processor (12th Gen),16 GB DDR5 RAM,Windows 11 Operating System,512 GB SSD,13.4,,,
735,HP Ryzen 9 Octa Core 6900HX,160180,AMD Ryzen 9 Octa Core Processor,32 GB DDR5 RAM,64 bit Windows 11 Operating System,1 TB SSD,16.1,,,
736,ASUS VivoBook 15 Ryzen 3 Dual Core AMD R3,26990,AMD Ryzen 3 Dual Core Processor,4 GB DDR4 RAM,64 bit Windows 10 Operating System,256 GB SSD,15.6,4.3,1654,225
737,ASUS ROG Zephyrus M16 (2022) with 90Whr Battery Core i7 12th Gen,174990,Intel Core i7 Processor (12th Gen),16 GB DDR5 RAM,Windows 11 Operating System,512 GB SSD,16,,,
738,HP 15s Core i3 11th Gen,41960,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,15.6,4.3,545,68
739,acer Nitro 5 Ryzen 5 Hexa Core 5600H,68990,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,Windows 11 Operating System,1 TB HDD|512 GB SSD,15.6,4.3,222,25
740,ASUS TUF Dash F15 Core i7 12th Gen,149610,Intel Core i7 Processor (12th Gen),16 GB DDR5 RAM,64 bit Windows 11 Operating System,1 TB SSD,15.6,4.8,5,1
741,ASUS VivoBook K15 OLED (2022) Core i5 11th Gen,63990,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD|256 GB SSD,15.6,4.3,652,85
742,Lenovo IdeaPad 3 Dual Core 3020e,27990,AMD Dual Core Processor,4 GB DDR4 RAM,64 bit Windows 11 Operating System,256 GB SSD,14,4.1,114,15
743,GIGABYTE G5 GD Core i5 11th Gen,68990,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.6,8,3
744,Lenovo Ideapad Gaming 3 Ryzen 5 Hexa Core 4600H,60490,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD|256 GB SSD,15.6,4.5,912,122
745,acer Swift 5 Core i5 8th Gen,69351,Intel Core i5 Processor (8th Gen),8 GB DDR3 RAM,64 bit Windows 10 Operating System,512 GB SSD,14,4.2,6,3
746,ASUS ROG Flow X16 (2022) with 90Whr Battery Ryzen 9 Octa Core 6900HS,261990,AMD Ryzen 9 Octa Core Processor,32 GB DDR5 RAM,64 bit Windows 11 Operating System,1 TB SSD,16,,,
747,Lenovo Intel Core i3 11th Gen,38500,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.3,453,38
748,HP Pavilion Gaming Core i7 11th Gen,79000,Intel Core i7 Processor (11th Gen),16 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,15.6,4.6,10,1
749,Lenovo IdeaPad 3 Dual Core 3020e,27990,AMD Dual Core Processor,4 GB DDR4 RAM,64 bit Windows 11 Operating System,256 GB SSD,14,4.1,114,15
750,HP Pavilion Gaming Ryzen 5 Hexa Core AMD R5,64000,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,3.9,70,7
751,Lenovo Intel Core i5 11th Gen,52890,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,15.6,4.5,14,1
752,HP Core i3 11th Gen,40699,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,15.6,,,
753,ASUS Core i9 10th Gen,269990,Intel Core i9 Processor (10th Gen),32 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB SSD,15.6,4.8,8,1
754,DELL Core i5 12th Gen,99990,Intel Core i5 Processor (12th Gen),16 GB DDR5 RAM,Windows 11 Operating System,512 GB SSD,13.4,,,
755,Lenovo IdeaPad 3 Core i3 11th Gen,38699,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.3,4658,449
756,Lenovo IdeaPad 3 Celeron Dual Core 4th Gen,25990,Intel Celeron Dual Core Processor (4th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,256 GB SSD,14,4.1,944,93
757,HP Pavilion Ryzen 5 Hexa Core 5500U,50600,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,15.6,4.4,210,30
758,HP OMEN Ryzen 7 Octa Core AMD R7,108290,AMD Ryzen 7 Octa Core Processor,16 GB DDR5 RAM,64 bit Windows 11 Operating System,512 GB SSD,16.1,4.3,39,6
759,Lenovo IdeaPad 3 Core i5 11th Gen,52990,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.2,280,21
760,Lenovo IdeaPad Core i3 11th Gen,37990,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit DOS Operating System,256 GB SSD,15.6,3.7,128,16
761,ASUS Vivobook 14 Core i3 11th Gen,38990,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,14.1,4.3,25,3
762,HP 255 G8 Ryzen 3 Dual Core AMD Ryzen3 3250,35960,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.5,4,0
763,Lenovo IdeaPad 3 Core i5 12th Gen,56049,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.2,247,21
764,HP Pavilion Gaming Ryzen 5 Hexa Core 4600H,80000,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD|256 GB SSD,15.6,4.6,35,6
765,ASUS Core i3 11th Gen,30990,Intel Core i3 Processor (11th Gen),4 GB DDR4 RAM,64 bit Windows 11 Operating System,256 GB SSD,14,4,106,13
766,ASUS VivoBook Ultra K15 OLED Core i3 11th Gen,45990,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,1 TB HDD|256 GB SSD,15.6,4.4,494,72
767,Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U,47039,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.3,1603,184
768,DELL Inspiron Ryzen 5 Hexa Core 5625U,50890,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,,,
769,DELL Inspiron Ryzen 7 Octa Core 5700U,85990,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,14,4.2,34,5
770,HP Omen Ryzen 7 Octa Core 6800H,122560,AMD Ryzen 7 Octa Core Processor,16 GB DDR5 RAM,Windows 11 Operating System,512 GB SSD,16.2,,,
771,Lenovo Intel Core i3 11th Gen,38500,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.3,453,38
772,ASUS TUF Gaming F17 Core i5 10th Gen,73990,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,17.3,4.8,12,0
773,HP Victus Ryzen 7 Octa Core 5800H,121677,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,16.1,,,
774,Lenovo Core i3 11th Gen,39990,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,15.6,4.1,29,2
775,Lenovo Intel Core i5 11th Gen,52890,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,15.6,4.5,14,1
776,DELL Vostro Ryzen 5 Hexa Core 5625U,63331,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,16,,,
777,DELL Inspiron Core i3 11th Gen,43490,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD,15.6,4,308,42
778,ASUS Chromebook Celeron Dual Core,25990,Intel Celeron Dual Core Processor,4 GB LPDDR4 RAM,Chrome Operating System,1 TB HDD,14,4.1,209,29
779,Lenovo IdeaPad 3 Core i3 11th Gen,38699,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.3,4658,449
780,HP Ryzen 7 Octa Core 6800H,136000,AMD Ryzen 7 Octa Core Processor,16 GB DDR5 RAM,64 bit Windows 11 Operating System,1 TB SSD,16.1,,,
781,ASUS Pro P5 Core i5 8th Gen,81990,Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD,14,,,
782,acer Spin 7 Core i7 7th Gen,119990,Intel Core i7 Processor (7th Gen),8 GB DDR3 RAM,64 bit Windows 10 Operating System,256 GB SSD,14,4,1,1
783,Lenovo IdeaPad 3 Core i5 11th Gen,52990,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.2,280,21
784,ASUS Vivobook Pro 16X OLED (2021) Ryzen 9 Octa Core 5900H 9th Gen,130500,AMD Ryzen 9 Octa Core Processor (9th Gen),16 GB DDR4 RAM,64 bit Windows 11 Operating System,1 TB SSD,16,,,
785,Lenovo Ideapad 720S Core i7 8th Gen,86000,Intel Core i7 Processor (8th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,13.3,,,
786,ASUS Ryzen 7 Octa Core 5800U,79990,AMD Ryzen 7 Octa Core Processor,16 GB LPDDR4X RAM,64 bit Windows 10 Operating System,1 TB SSD,13.3,3,2,1
787,Lenovo IdeaPad 3 Core i5 12th Gen,56049,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.2,247,21
788,MSI GL Core i7 7th Gen,59990,Intel Core i7 Processor (7th Gen),8 GB DDR4 RAM,DOS Operating System,1 TB HDD,15.6,3.5,6,1
789,Lenovo Intel Core i7 12th Gen,119990,Intel Core i7 Processor (12th Gen),16 GB LPDDR5 RAM,Windows 11 Operating System,512 GB SSD,14,,,
790,DELL G15 Core i5 12th Gen,84990,Intel Core i5 Processor (12th Gen),16 GB DDR5 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.1,35,5
791,Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U,47039,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.3,1603,184
792,ASUS ROG Zephyrus G15 (2022) Ryzen 7 Octa Core 6800HS,189990,AMD Ryzen 7 Octa Core Processor,16 GB DDR5 RAM,Windows 11 Operating System,1 TB SSD,15.6,,,
793,Lenovo Ideapad 720S Core i5 8th Gen,74990,Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,13.3,3.3,3,1
794,HP Pavilion Gaming Core i5 11th Gen,68690,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD|256 GB SSD,15.6,4.4,479,57
795,Lenovo Intel Core i5 11th Gen,62990,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,15.6,4.5,14,1
796,HP Pavilion x360 Core i7 12th Gen,92070,Intel Core i7 Processor (12th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,14,,,
797,DELL Vostro Ryzen 5 Hexa Core 5625U,57890,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,14,,,
798,MSI GP76 Core i7 11th Gen,180990,Intel Core i7 Processor (11th Gen),16 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB SSD,17.3,4.5,27,6
799,Lenovo V15 G2 Core i3 11th Gen,37500,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,1 TB HDD|256 GB SSD,15.6,4.4,53,3
800,HP Core i5 12th Gen,62990,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,14,,,
801,HP Spectre x360 Core i5 8th Gen,136590,Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,256 GB SSD,13.3,,,
802,HP Core i5 12th Gen,73070,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,,,
803,DELL Vostro Ryzen 3 Quad Core 5425U,36890,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,256 GB SSD,14,,,
804,ASUS Core i9 11th Gen,88990,Intel Core i9 Processor (11th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,15.6,,,
805,HP 15s Core i3 10th Gen,40250,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD,15.6,4.1,1147,119
806,DELL Core i5 11th Gen,61890,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,Windows 11 Operating System,1 TB HDD|256 GB SSD,15.6,3.5,6,1
807,HP Pavilion Core i5 11th Gen,62180,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,,,
808,HP Intel Core i5 10th Gen,97500,Intel Core i5 Processor (10th Gen),16 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,15.6,3.7,3,0
809,ASUS ZenBook 13 Core i5 8th Gen,74490,Intel Core i5 Processor (8th Gen),8 GB LPDDR3 RAM,64 bit Windows 10 Operating System,512 GB SSD,13.3,4.2,50,4
810,ASUS ROG Flow X13 Ryzen 7 Octa Core 6800HS,167990,AMD Ryzen 7 Octa Core Processor,32 GB LPDDR5 RAM,64 bit Windows 11 Operating System,1 TB SSD,13.4,,,
811,Lenovo IdeaPad Gaming 3 Ryzen 5 Hexa Core 5600H,73990,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,15.6,4,15,5
812,ASUS Core i7 12th Gen,104990,Intel Core i7 Processor (12th Gen),16 GB LPDDR5 RAM,Windows 11 Operating System,512 GB SSD,14,,,
813,MSI GS Core i7 8th Gen,149990,Intel Core i7 Processor (8th Gen),16 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,15.6,4.1,10,3
814,DELL Inspiron 3000 Core i3 11th Gen,42800,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,,,
815,ASUS TUF Gaming A17 Ryzen 7 Octa Core AMD R7,85990,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,17.3,4.5,1468,194
816,HP Victus Ryzen 5 Hexa Core 5600H,59000,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,16.1,4.2,9,2
817,HP Intel Core i5 10th Gen,97500,Intel Core i5 Processor (10th Gen),16 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,15.6,3.7,3,0
818,Lenovo IdeaPad Gaming 3 Ryzen 5 Hexa Core 5600H,73990,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,15.6,4,15,5
819,Lenovo Intel Core i3 11th Gen,38500,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.3,453,38
820,DELL Core i5 11th Gen,62779,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,15.6,,,
821,DELL Inspiron 3511 Core i3 11th Gen,46490,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD|256 GB SSD,15.6,,,
822,APPLE 2020 Macbook Pro M1,129990,Apple M1 Processor,8 GB DDR4 RAM,Mac OS Operating System,512 GB SSD,13.3,4.5,481,50
823,Lenovo Intel Core i5 11th Gen,52890,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,15.6,4.5,14,1
824,Infinix INBook X2 Plus Core i7 11th Gen,52990,Intel Core i7 Processor (11th Gen),16 GB LPDDR4X RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.3,26,6
825,HP Pavilion Gaming Ryzen 5 Hexa Core 5600H,72990,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,15.6,,,
826,ASUS ROG Zephyrus G14 Ryzen 7 Octa Core 6800HS,176990,AMD Ryzen 7 Octa Core Processor,16 GB DDR5 RAM,Windows 11 Operating System,1 TB SSD,14,,,
827,Lenovo IdeaPad 3 Core i3 11th Gen,38699,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.3,4658,449
828,ASUS TUF Gaming F15 Core i5 10th Gen,59990,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,15.6,4.5,5145,564
829,DELL Core i3 11th Gen,44990,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,Windows 11 Operating System,1 TB HDD|256 GB SSD,15.6,,,
830,HP 15s Intel Core i5 12th Gen,61000,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,3.8,45,6
831,Lenovo IdeaPad 3 Core i5 11th Gen,52990,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.2,280,21
832,HP Ryzen 3 Dual Core 3250U,31490,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,256 GB SSD,15.6,3.7,36,3
833,MICROSOFT Surface Laptop 3 Ryzen 5 Quad Core 3580U,99990,AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM,64 bit Windows 10 Operating System,128 GB SSD,15,3.8,9,0
834,ASUS ROG Zephyrus G15 (2022) with 90Whr Battery Ryzen 9 Octa Core 6900HS,166990,AMD Ryzen 9 Octa Core Processor,16 GB DDR5 RAM,64 bit Windows 11 Operating System,1 TB SSD,15.6,,,
835,Lenovo IdeaPad 3 Core i5 12th Gen,56049,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.2,247,21
836,ASUS Pentium Quad Core,28960,Intel Pentium Quad Core Processor,8 GB DDR4 RAM,Windows 11 Operating System,256 GB SSD,14,,,
837,GIGABYTE G5 KE,94990,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,,,
838,HP Victus Ryzen 7 Octa Core 6800H,94990,AMD Ryzen 7 Octa Core Processor,8 GB DDR5 RAM,64 bit Windows 11 Operating System,512 GB SSD,16.1,,,
839,Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U,47039,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.3,1603,184
840,MSI GF63 Thin Core i5 9th Gen,59990,Intel Core i5 Processor (9th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,15.6,4.5,1197,151
841,DELL Core i5 11th Gen,62779,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,15.6,,,
842,ASUS Chromebook Flip Touch Celeron Dual Core,22990,Intel Celeron Dual Core Processor,4 GB LPDDR4 RAM,Chrome Operating System,512 GB SSD,11.6,4,1853,287
843,Lenovo Intel Core i5 11th Gen,62990,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,15.6,4.5,14,1
844,ASUS Core i3 11th Gen,42550,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,Windows 11 Operating System,256 GB SSD,15.6,,,
845,Infinix INBook Y1 Plus Intel Core i3 10th Gen,29990,Intel Core i3 Processor (10th Gen),8 GB LPDDR4X RAM,64 bit Windows 11 Operating System,256 GB SSD,15.6,,,
846,acer Nitro 5 Core i5 12th Gen,85499,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,3.5,4,1
847,Lenovo V15 G2 Core i3 11th Gen,37500,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,1 TB HDD|256 GB SSD,15.6,4.4,53,3
848,DELL Ryzen 5 Hexa Core,67990,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,16,,,
849,Lenovo Legion 5 Pro Core i7 11th Gen,152124,Intel Core i7 Processor (11th Gen),16 GB DDR4 RAM,64 bit Windows 11 Operating System,1 TB SSD,16,4.6,49,3
850,LG Gram Core i5 12th Gen,89990,Intel Core i5 Processor (12th Gen),8 GB DDR5 RAM,64 bit Windows 11 Operating System,512 GB SSD,14,,,
851,DELL Vostro Ryzen 3 Quad Core 5425U,36890,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,256 GB SSD,14,,,
852,DELL G7 Core i9 10th Gen,206490,Intel Core i9 Processor (10th Gen),16 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB SSD,15.6,4.3,22,3
853,Lenovo IdeaPad Flex 3 Chromebook Celeron Dual Core,28490,Intel Celeron Dual Core Processor,4 GB LPDDR4X RAM,64 bit Chrome Operating System,1 TB SSD,11.6,3.6,153,22
854,DELL Vostro 3000 Core i5 8th Gen,45126,Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD,14,4,1371,177
855,HP Spectre Folio Core i7 10th Gen,239759,Intel Core i7 Processor (10th Gen),16 GB LPDDR3 RAM,64 bit Windows 10 Operating System,512 GB SSD,13.3,,,
856,ASUS TUF Gaming F15 Core i9 11th Gen,144990,Intel Core i9 Processor (11th Gen),16 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB SSD,15.6,4.4,9,3
857,ASUS Vivobook Gaming Core i7 10th Gen,65990,Intel Core i7 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,15.6,4.3,76,7
858,Infinix INBook Y1 Plus Intel Core i3 10th Gen,29990,Intel Core i3 Processor (10th Gen),8 GB LPDDR4X RAM,64 bit Windows 11 Operating System,256 GB SSD,15.6,,,
859,ASUS Ryzen 5 Hexa Core 10th Gen,72990,AMD Ryzen 5 Hexa Core Processor (10th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,14,,,
860,DELL Inspiron Ryzen 5 Hexa Core 5500U,66490,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,14,4.4,293,39
861,DELL Vostro Core i3 11th Gen,43090,Intel Core i3 Processor (11th Gen),4 GB DDR4 RAM,64 bit Windows 11 Operating System,1 TB HDD|256 GB SSD,35,4.2,33,7
862,DELL Ryzen 3 Dual Core 3rd Gen,43490,AMD Ryzen 3 Dual Core Processor (3rd Gen),8 GB DDR4 RAM,Windows 10 Operating System,256 GB SSD,15.6,,,
863,Lenovo Intel Core i7 12th Gen,181890,Intel Core i7 Processor (12th Gen),16 GB LPDDR5 RAM,Windows 11 Operating System,1 TB SSD,13.3,,,
864,Lenovo IdeaPad 3 Core i3 10th Gen,33490,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,Windows 11 Operating System,256 GB SSD,15.6,3.6,22,4
865,acer Aspire 5 Core i5 11th Gen,47130,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD,15.6,4,566,61
866,HP 250 G8 Core i3 11th Gen,39999,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,DOS Operating System,512 GB SSD,15.6,4,52,8
